word,count,mean_rating,raw_vader_score,category
inspired,20,5.0,2.2,JOY
glory,79,4.987341772151899,2.5,JOY
haze,15,4.666666666666667,0.0,FEAR
elevation,22,4.7272727272727275,0.0,JOY
blessed,134,4.970149253731344,2.9,JOY
break,73,4.794520547945205,0.0,SURPRISE
perfection,20,4.95,2.7,JOY
explain,116,4.663793103448276,0.0,TRUST
expecting,70,4.514285714285714,0.0,ANTICIPATION
pride,76,4.907894736842105,1.4,JOY
honeymoon,181,5.0,0.0,JOY
capture,81,4.839506172839506,0.0,CATE
bang,32,4.84375,0.0,SADNESS
constantly,57,4.859649122807017,0.0,TRUST
amazingly,65,4.969230769230769,0.0,JOY
general,83,4.674698795180723,0.0,TRUST
exquisite,22,5.0,0.0,JOY
accomplished,20,4.95,1.9,JOY
marvel,20,4.95,1.8,SURPRISE
mistake,28,4.142857142857143,-1.4,SADNESS
gorge,157,4.987261146496815,0.0,DISGUST
expedition,27,4.851851851851852,0.0,ANTICIPATION
lush,56,4.982142857142857,0.0,SADNESS
system,56,4.517857142857143,0.0,TRUST
dangerous,25,4.12,-2.1,FEAR
fellow,40,4.725,0.0,TRUST
heavenly,18,5.0,3.0,JOY
angel,61,4.819672131147541,0.0,JOY
prepare,40,4.875,0.0,ANTICIPATION
wealth,92,4.956521739130435,2.2,JOY
attempt,38,4.421052631578948,0.0,ANTICIPATION
thrilling,145,4.958620689655173,2.1,JOY
ultimately,28,4.535714285714286,0.0,ANTICIPATION
trust,73,4.767123287671233,2.3,TRUST
uncertain,16,5.0,-1.2,DISGUST
passion,60,5.0,2.0,JOY
promise,26,4.730769230769231,1.3,JOY
budget,73,4.739726027397261,0.0,TRUST
create,24,4.916666666666667,1.1,JOY
upset,23,3.4782608695652173,-1.6,SADNESS
witness,19,5.0,0.0,TRUST
crazy,50,4.76,-1.4,SADNESS
inform,27,3.5925925925925926,0.0,TRUST
responsive,40,4.875,1.5,TRUST
offering,78,4.717948717948718,0.0,TRUST
adventurous,39,4.846153846153846,1.4,CATE
generous,34,4.911764705882353,2.3,JOY
excitement,60,4.983333333333333,2.2,JOY
steady,47,4.9361702127659575,0.0,TRUST
jump,28,4.964285714285714,0.0,JOY
pop,31,4.774193548387097,0.0,SURPRISE
superior,41,4.902439024390244,2.5,CATE
leery,16,4.9375,0.0,SURPRISE
warned,46,4.760869565217392,-1.1,ANTICIPATION
questionable,19,4.842105263157895,-1.2,DISGUST
contact,108,4.601851851851852,0.0,CATE
taught,35,5.0,0.0,TRUST
lose,18,4.611111111111111,-1.7,SADNESS
disappointment,51,4.0,-2.3,SADNESS
cash,24,4.458333333333333,0.0,JOY
guess,82,4.353658536585366,0.0,SURPRISE
ruin,25,4.32,-2.8,SADNESS
hanging,30,4.666666666666667,0.0,SADNESS
challenge,18,4.5,0.3,FEAR
dependent,28,4.5,0.0,TRUST
bank,26,4.230769230769231,0.0,TRUST
insane,18,4.666666666666667,-1.7,FEAR
track,33,4.636363636363637,0.0,ANTICIPATION
immense,21,5.0,0.0,CATE
concerned,151,4.814569536423841,0.0,SADNESS
tired,20,4.5,-1.9,CATE
shopping,48,4.916666666666667,0.0,JOY
spur,18,4.944444444444445,0.0,FEAR
boy,81,4.950617283950617,0.0,DISGUST
manage,22,4.363636363636363,0.0,TRUST
celebration,30,4.833333333333333,0.0,JOY
entertained,60,4.95,1.7,JOY
child,48,4.833333333333333,0.0,JOY
force,21,5.0,0.0,FEAR
hurt,15,4.933333333333334,-2.4,SADNESS
splendor,31,4.967741935483871,3.0,JOY
strip,67,4.701492537313433,0.0,SADNESS
lava,37,4.918918918918919,0.0,FEAR
aloha,126,4.9523809523809526,0.0,JOY
unexpected,50,4.9,0.0,JOY
praise,15,4.933333333333334,2.6,JOY
enthusiasm,52,4.923076923076923,1.9,JOY
splendid,16,4.9375,2.8,JOY
volcano,106,4.933962264150943,0.0,SURPRISE
refreshing,21,4.904761904761905,0.0,CATE
valuable,18,4.555555555555555,2.1,CATE
accurate,29,4.517241379310345,0.0,TRUST
instructor,122,4.934426229508197,0.0,TRUST
grandchildren,15,5.0,0.0,JOY
lesson,77,4.896103896103896,0.0,TRUST
celebrating,31,4.870967741935484,2.7,JOY
celebrated,25,5.0,2.7,JOY
stellar,29,4.793103448275862,0.0,CATE
glare,40,4.8,0.0,FEAR
cherry,21,4.761904761904762,0.0,CATE
instruction,50,4.86,0.0,TRUST
count,23,4.695652173913044,0.0,TRUST
tree,28,4.714285714285714,0.0,JOY
overwhelmed,17,5.0,0.2,SADNESS
whim,21,5.0,0.0,JOY
die,29,4.931034482758621,-2.9,SADNESS
annoying,16,4.125,-1.7,ANGER
welcomed,92,4.989130434782608,1.4,JOY
greeting,34,5.0,1.6,SURPRISE
worthy,20,4.75,1.9,TRUST
versus,22,4.909090909090909,0.0,ANGER
spirit,80,4.8625,0.7,CATE
cliff,40,4.95,0.0,FEAR
account,18,4.388888888888889,0.0,TRUST
genuine,53,4.943396226415095,0.0,TRUST
secret,19,5.0,0.0,TRUST
adorable,15,5.0,2.2,JOY
marvelous,43,4.953488372093023,2.9,JOY
amusing,20,4.95,1.6,JOY
success,18,4.777777777777778,2.7,JOY
secluded,20,4.85,0.0,SADNESS
decent,42,4.309523809523809,0.0,CATE
shortly,34,4.470588235294118,0.0,ANTICIPATION
assure,15,4.4,1.4,TRUST
wonderfully,40,4.975,2.9,JOY
coach,36,4.75,0.0,TRUST
celebrity,27,4.518518518518518,0.0,JOY
visitor,52,4.865384615384615,0.0,JOY
art,17,5.0,0.0,JOY
effective,19,5.0,2.1,TRUST
goodness,27,4.962962962962963,2.0,JOY
hilarious,15,5.0,1.7,JOY
missing,42,4.738095238095238,-1.2,SADNESS
giant,21,5.0,0.0,FEAR
soak,23,4.956521739130435,0.0,CATE
leisurely,18,4.944444444444445,0.0,CATE
