word,count,mean_rating,mean_polarity,category
delayed,74,4.445945945945946,0.7314945945945946,CATE
expect,204,4.769607843137255,0.8869838235294119,ANTICIPATION
highest,81,4.888888888888889,0.8996629629629631,ANTICIPATION
gem,23,4.956521739130435,0.9478,JOY
cold,170,4.847058823529411,0.9422858823529412,CATE
sweet,99,4.91919191919192,0.9458282828282827,ANTICIPATION
major,120,4.85,0.8988208333333334,CATE
fearful,22,4.818181818181818,0.8654636363636363,FEAR
sick,240,4.758333333333334,0.8470308333333333,DISGUST
delay,58,3.9827586206896552,0.5523137931034483,ANGER
wont,33,4.757575757575758,0.8184090909090909,ANTICIPATION
afraid,144,4.972222222222222,0.9076256944444445,FEAR
personal,571,4.926444833625219,0.8617364273204904,TRUST
hearing,54,4.7592592592592595,0.8887499999999998,FEAR
older,47,4.76595744680851,0.9031893617021275,SADNESS
surprise,202,4.851485148514851,0.9120336633663366,FEAR
treat,205,4.878048780487805,0.9252921951219513,ANGER
vacation,760,4.910526315789474,0.9030057894736843,ANTICIPATION
true,248,4.903225806451613,0.920601612903226,JOY
real,268,4.865671641791045,0.8865179104477612,TRUST
treasure,54,5.0,0.9430296296296296,ANTICIPATION
pleased,132,4.924242424242424,0.9214249999999999,JOY
superb,226,4.946902654867257,0.9305097345132743,CATE
unsafe,35,4.6571428571428575,0.7733171428571428,FEAR
skeptical,22,4.818181818181818,0.8287818181818181,CATE
rest,298,4.848993288590604,0.8744593959731545,CATE
shoulder,16,4.5625,0.85255625,TRUST
majority,31,4.32258064516129,0.748190322580645,JOY
unable,112,4.464285714285714,0.7306508928571428,SADNESS
fixed,196,4.846938775510204,0.9048132653061225,TRUST
disappointing,75,2.8133333333333335,0.27698,SADNESS
constant,41,4.512195121951219,0.8252195121951219,TRUST
turbulent,31,4.645161290322581,0.7984225806451614,FEAR
confirmed,35,3.9714285714285715,0.6771371428571429,TRUST
ill,23,4.217391304347826,0.6301521739130435,ANGER
finally,210,4.4714285714285715,0.7844899999999999,ANTICIPATION
worse,31,3.7096774193548385,0.4213387096774193,FEAR
completely,326,4.751533742331288,0.8675018404907976,CATE
improve,17,4.411764705882353,0.9676823529411763,ANTICIPATION
sunset,269,4.869888475836431,0.8902438661710038,ANTICIPATION
effort,86,4.6976744186046515,0.8898744186046512,CATE
board,222,4.716216216216216,0.8725918918918918,ANTICIPATION
fill,39,4.461538461538462,0.8542743589743589,TRUST
sun,206,4.800970873786408,0.9258033980582525,ANTICIPATION
coast,1017,4.892822025565389,0.8978698131760079,CATE
birthday,386,4.963730569948186,0.9256049222797927,ANTICIPATION
attention,120,4.941666666666666,0.8827783333333333,CATE
carefully,29,4.724137931034483,0.9215689655172414,CATE
regret,314,4.949044585987261,0.8749375796178344,SADNESS
beach,240,4.858333333333333,0.7748287499999998,JOY
wasted,33,2.4545454545454546,0.05934545454545455,ANGER
wrong,134,4.559701492537314,0.7694171641791044,CATE
pleasant,299,4.8762541806020065,0.9261541806020066,ANTICIPATION
advise,47,4.659574468085107,0.9062914893617023,TRUST
stable,78,4.884615384615385,0.9153435897435898,TRUST
