phrase,total_mentions,review_count,review_percentage
felt safe comfortable,33,33,0.15
great highly recommend,33,33,0.15
highly recommend flying,33,33,0.15
great job flying,33,33,0.15
thoroughly enjoyed flight,32,32,0.14
mt mckinley denali,32,31,0.14
trip wings kauai,32,32,0.14
glacier landing definitely,32,32,0.14
denali flight seeing,32,30,0.13
tour kauai air,32,31,0.14
highly recommend glacier,32,32,0.14
south rim grand,32,30,0.13
float plane trip,32,29,0.13
glacier landing denali,32,32,0.14
glacier landing spectacular,32,32,0.14
misty fjords flight,32,31,0.14
kauai air tours,32,27,0.12
flight great views,32,31,0.14
experience ll forget,32,32,0.14
misty fjords national,31,29,0.13
flight amazing pilot,31,31,0.14
amazing views great,31,31,0.14
molokai sea cliffs,31,29,0.13
bi plane tour,31,28,0.13
did awesome job,31,31,0.14
booked glacier landing,31,31,0.14
great pilot tour,31,31,0.14
nervous flying small,31,31,0.14
denali landed glacier,31,31,0.14
air highly recommend,31,31,0.14
glen canyon dam,31,28,0.13
waimea canyon napali,31,31,0.14
summit tour glacier,31,30,0.13
grand denali flight,31,31,0.14
amazing experience highly,31,31,0.14
fixed wing flight,31,27,0.12
pilot felt safe,31,31,0.14
great air tour,31,31,0.14
don miss opportunity,30,27,0.12
great tour great,30,30,0.13
highly recommend great,30,30,0.13
seeing glacier landing,30,29,0.13
glacier landing best,30,30,0.13
flown small plane,30,30,0.13
amazing lifetime experience,30,30,0.13
highlights trip alaska,30,30,0.13
landed base camp,30,30,0.13
flight smooth comfortable,30,30,0.13
grand canyon great,30,30,0.13
best way denali,30,28,0.13
entire island kauai,30,30,0.13
trip worth penny,30,30,0.13
early morning flight,30,29,0.13
experience great time,30,30,0.13
tour worth penny,29,29,0.13
fixed wing plane,29,27,0.12
grand canyon west,29,24,0.11
safe entire time,29,29,0.13
tour great experience,29,29,0.13
thanks air ventures,29,29,0.13
did good job,29,29,0.13
amazing views amazing,29,29,0.13
feel like family,29,29,0.13
took breath away,29,29,0.13
flight smooth views,29,29,0.13
truly amazing experience,29,29,0.13
great job narrating,29,29,0.13
flight highlight trip,29,29,0.13
taking landing water,29,29,0.13
glacier landing absolutely,29,29,0.13
denali mt mckinley,29,29,0.13
landing talkeetna air,29,29,0.13
great way grand,29,29,0.13
professional highly recommend,29,29,0.13
fixed wing tour,28,25,0.11
able glacier landing,28,28,0.13
recommend tour company,28,28,0.13
tour highlight trip,28,28,0.13
trip talkeetna air,28,27,0.12
70 minute flight,28,28,0.13
awesome highly recommend,28,28,0.13
clear sunny day,28,28,0.13
great job showing,28,28,0.13
tour great way,28,28,0.13
worth extra money,28,28,0.13
check bucket list,28,27,0.12
landing worth extra,28,28,0.13
tour beautiful island,28,28,0.13
breathtaking highly recommend,28,28,0.13
great time great,28,28,0.13
did helicopter tour,28,28,0.13
bucket list trip,28,26,0.12
way san francisco,28,27,0.12
denali flyer tour,28,28,0.13
worth penny pilot,28,28,0.13
couper le souffle,28,26,0.12
canyon national park,28,27,0.12
